"행정구역별(읍면동)",2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
"광명시",284031,139684,144347,278246,136837,141409,5785,2847,2938,112264,109959,40,2265,98203,4675,74985,1136,16926,481,5753
"평택시",590205,310646,279559,555028,290723,264305,35177,19923,15254,256364,244548,186,11630,239451,33479,166192,7423,30303,2054,8630
"동두천시",94142,47054,47088,89771,44578,45193,4371,2476,1895,40885,39645,57,1183,38752,6443,22146,2548,7249,366,1199
"안산시",715088,369635,345453,628601,321626,306975,86487,48009,38478,302839,268609,291,33939,224378,15205,117977,8457,81369,1370,14928
"상록구",362147,184512,177635,337562,172126,165436,24585,12386,12199,153577,144031,125,9421,115375,7519,48806,1186,57135,729,3405
"단원구",352941,185123,167818,291039,149500,141539,61902,35623,26279,149262,124578,166,24518,109003,7686,69171,7271,24234,641,11523
"고양시",1044242,509353,534889,1026584,500620,525964,17658,8733,8925,425383,419496,262,5625,347754,21192,274856,12327,37761,1618,45899
"덕양구",473370,232645,240725,466513,229523,236990,6857,3122,3735,198421,196261,108,2052,169095,9992,128002,5940,24299,862,16626
"일산동구",290321,140807,149514,284268,137508,146760,6053,3299,2754,119275,117248,114,1913,84311,7557,63504,4126,8681,443,22033
"일산서구",280551,135901,144650,275803,133589,142214,4748,2312,2436,107687,105987,40,1660,94348,3643,83350,2261,4781,313,7240
"과천시",73406,36168,37238,73002,35974,37028,404,194,210,26858,26753,9,96,22455,1606,18093,277,2385,94,538
"구리시",184114,90974,93140,182050,90000,92050,2064,974,1090,74435,73755,31,649,60367,4815,47787,2109,5197,459,3344
"남양주시",719886,357413,362473,709448,351554,357894,10438,5859,4579,277759,274943,229,2587,259844,17181,203146,11740,26207,1570,10732
"오산시",242596,126049,116547,225850,117290,108560,16746,8759,7987,104001,96992,65,6944,83862,5289,67781,1595,8622,575,3664
"시흥시",557663,294555,263108,500970,261423,239547,56693,33132,23561,231735,207794,164,23777,188481,7537,151150,1744,26744,1306,15094
"군포시",267750,132765,134985,257908,127849,130059,9842,4916,4926,109781,105957,58,3766,92238,3530,74911,1245,12109,443,5601
"의왕시",157318,77880,79438,155776,77169,78607,1542,711,831,61075,60598,38,439,56803,2333,46463,748,7036,223,1835
"하남시",315203,157092,158111,311650,155310,156340,3553,1782,1771,129323,128198,35,1090,98093,5997,87979,1282,2187,648,19988
