"Status";"Add.";"SNAdd.";"BN";"LD";"DoC"
"166";"영업/정상";"서울특별시 동대문구 청량리동 205-86";"서울특별시 동대문구 홍릉로 87 (청량리동)";"(주)홍릉주유소";1976-05-24;NA
"167";"폐업";"서울특별시 동대문구 이문동 341-32 ";NA;"동진상사동부주유소";1976-05-24;"20000101"
"168";"폐업";"서울특별시 마포구 합정동 382-20 ";"서울특별시 마포구 양화로 13 (합정동)";"SK네트윅스(주)합정주유소";1976-05-24;"20190902"
"169";"폐업";"서울특별시 강서구 염창동 274-18 ";"서울특별시 강서구 공항대로 533 (염창동)";"진일주유소";1976-05-24;"20181105"
"170";"영업/정상";"서울특별시 영등포구 신길동 1155 ";"서울특별시 영등포구 여의대방로 227 (신길동)";"씨앤에스유통(주) 한성주유소";1976-05-24;NA
"171";"폐업";"서울특별시 영등포구 영등포동8가 86 ";"서울특별시 영등포구 영중로 169 (영등포동8가)";"SK 글로벌(주) 당산주유소";1976-05-24;"20120731"
"172";"폐업";"서울특별시 영등포구 신길동 623-5 ";"서울특별시 영등포구 여의대방로 153 (신길동)";"대방주유소";1976-05-24;"20160701"
"173";"폐업";"서울특별시 영등포구 대림동 989-1 ";"서울특별시 영등포구 시흥대로 641  (대림동)";"신도림주유소";1976-05-24;"20070731"
"174";"폐업";"서울특별시 영등포구 문래동1가 76-3 ";NA;"엘지칼렉스정유(주)한일주유소";1976-05-24;NA
"175";"폐업";"서울특별시 강동구 천호동 442-34 ";"서울특별시 강동구 올림픽로 667 (천호동)";"SK(주)천호동주유소";1976-05-24;"20010915"
"176";"폐업";"서울특별시 강북구 미아동 317-3 ";"서울특별시 강북구 도봉로 155 (미아동)";"(주)에이앤이 청담주유소";1976-05-25;"20170531"
"177";"영업/정상";"서울특별시 용산구 한남동 707-14 ";"서울특별시 용산구 한남대로 82 (한남동)";"(주)중앙에너비스 에너비스";1976-05-26;NA
"178";"폐업";"서울특별시 용산구 이태원동 126-3 ";"서울특별시 용산구 이태원로 200 (이태원동)";"대성산업(주)이태원주유소";1976-05-26;"20130331"
